time,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w
2022/08/16/12:40:17.460470,0.000751692,-0.000204558,0.000453969,-0.000385188,-4.48E-05,0.999999821
2022/08/16/12:40:17.561505,0.002232387,-0.000206211,0.000796558,-0.000320119,7.60E-05,0.999999642
2022/08/16/12:40:17.661249,0.000657004,-0.000201802,0.000742975,-1.07E-05,6.76E-05,0.999999762
2022/08/16/12:40:17.761826,0.002274795,-0.0003158,0.000814159,5.27E-05,4.67E-05,0.999999702
2022/08/16/12:40:17.861181,0.001779528,-0.00017576,0.000641847,-0.000232577,6.76E-05,0.999999881
2022/08/16/12:40:17.961040,0.003725949,-0.000574379,0.000728563,-0.000184597,0.000157171,0.999999821
2022/08/16/12:40:18.061144,0.001455028,3.26E-05,0.000947144,-0.000242558,9.12E-05,0.999999523
2022/08/16/12:40:18.161048,0.002121127,-0.000875886,0.000588794,-0.000300303,0.000126699,0.999999762
2022/08/16/12:40:18.261927,-0.00087901,-0.000423225,0.000632663,-0.000368734,5.68E-06,0.999999762
2022/08/16/12:40:18.362007,8.68E-05,-0.000477783,0.000654891,-0.000173759,4.82E-05,0.999999762
2022/08/16/12:40:18.462063,0.00302532,-7.16E-05,0.000821126,-0.000257375,6.06E-05,0.999999642
2022/08/16/12:40:18.562004,0.001100201,0.000254449,0.000660517,-0.000269583,2.04E-05,0.999999762
2022/08/16/12:40:18.658968,0.000924436,0.000567275,0.000697733,-0.000264642,5.84E-07,0.999999762
2022/08/16/12:40:18.758464,-0.000256931,0.000110201,0.000752339,-0.000222616,2.38E-05,0.999999702
2022/08/16/12:40:18.858264,0.002049523,-9.57E-05,0.000564924,-0.000312327,8.58E-05,0.999999821
2022/08/16/12:40:18.958489,0.004228945,-0.000805418,0.000624471,-7.88E-05,6.03E-05,0.999999821
2022/08/16/12:40:19.058463,0.000188879,0.000110889,0.000560804,-0.000322155,-4.75E-06,0.999999821
2022/08/16/12:40:19.158303,0.004694532,-0.001360678,0.000512118,-0.000382772,0.000153318,0.999999821
