Time,ax,ay,AngleZ
 08:58:17.576,0,-0.0029,-95.0757
 08:58:17.686,-0.001,0.002,-95.0592
 08:58:17.782,-0.0039,-0.0015,-95.0482
 08:58:17.882,-0.0107,0.002,-95.0427
 08:58:17.977,-0.0127,0.0029,-95.0427
 08:58:18.075,-0.0083,-0.0015,-95.0427
 08:58:18.189,-0.0103,0.0005,-95.0427
 08:58:18.286,-0.0117,0.0044,-95.0427
 08:58:18.380,-0.0083,-0.0024,-95.0427
 08:58:18.478,-0.0005,0.001,-95.0427
 08:58:18.575,0.0073,0,-95.0427
 08:58:18.689,0.0146,0.0005,-95.0427
 08:58:18.784,0.0107,-0.0015,-95.0427
 08:58:18.880,0.021,-0.0034,-95.0427
 08:58:18.988,0.041,-0.001,-95.0427
 08:58:19.091,0.0132,-0.002,-95.0427
 08:58:19.186,0.0078,0.0005,-95.0427
 08:58:19.282,0.0171,-0.0044,-95.0427
 08:58:19.393,0.0049,-0.0015,-95.0427
 08:58:19.477,0.0103,0.0029,-95.0427
 08:58:19.574,0.0078,-0.0049,-95.0427
 08:58:19.687,-0.0005,-0.0005,-95.0427
 08:58:19.773,-0.0034,0,-95.0427
 08:58:19.898,0.0063,-0.0039,-95.0427
 08:58:19.977,0.0117,-0.0044,-95.0427
 08:58:20.071,0.0088,-0.0039,-95.0427
 08:58:20.171,0.0063,0.0005,-95.0427
 08:58:20.284,0.0244,0,-95.0427
 08:58:20.381,0.0293,-0.0015,-95.0427
 08:58:20.499,0.0063,-0.002,-95.0427
 08:58:20.578,0.0029,0,-95.0427
 08:58:20.675,0.002,-0.002,-95.0427
 08:58:20.773,0.0083,-0.0005,-95.0427
 08:58:20.877,0.0142,-0.0024,-95.0427
 08:58:20.970,0.0142,0,-95.0427
 08:58:21.096,0.0112,-0.001,-95.0427
 08:58:21.175,0.0088,-0.0005,-95.0427
 08:58:21.268,0.0063,-0.002,-95.0427
 08:58:21.380,0.0034,-0.0029,-95.0427
 08:58:21.468,0.019,0.002,-95.0427
 08:58:21.569,0.0078,-0.0044,-95.0427
 08:58:21.679,0.0039,-0.0049,-95.0427
 08:58:21.771,0.0146,0.001,-95.0427
 08:58:21.891,0.0063,-0.0024,-95.0427
 08:58:21.973,0,-0.0015,-95.0427
 08:58:22.068,0.0034,-0.0044,-95.0427
 08:58:22.175,0.0137,0.0024,-95.0427
 08:58:22.276,0.0093,-0.0063,-95.0427
 08:58:22.370,0.0044,-0.0078,-95.0427
 08:58:22.480,0.002,0.0005,-95.0427
 08:58:22.577,0.0054,-0.0068,-95.0427
 08:58:22.672,0.0054,-0.0078,-95.0427
 08:58:22.770,0.0059,-0.0029,-95.0427
 08:58:22.865,0.0088,-0.0049,-95.0427
 08:58:22.977,0.0171,-0.0044,-95.0427
 08:58:23.071,0.0137,-0.0039,-95.0427
 08:58:23.166,0.0059,-0.0054,-95.0427
 08:58:23.278,0.0054,-0.0098,-95.0427
 08:58:23.392,-0.0015,-0.0146,-95.0427
 08:58:23.471,-0.0034,-0.0122,-95.0812
 08:58:23.567,0.0117,-0.0039,-95.1196
 08:58:23.662,0.0142,-0.0044,-95.1636
 08:58:23.776,0.0029,-0.0029,-95.2075
 08:58:23.872,0,-0.0088,-95.257
 08:58:24.004,-0.0015,-0.0176,-95.3558
 08:58:24.067,-0.0024,-0.0029,-95.4987
 08:58:24.161,-0.0015,0,-95.647
 08:58:24.261,-0.0054,-0.0039,-95.7568
 08:58:24.389,0.0088,-0.0024,-95.8557
 08:58:24.475,0.0132,-0.0073,-95.9491
 08:58:24.594,0.0083,-0.0073,-96.048
 08:58:24.675,0.0137,-0.001,-96.1523
 08:58:24.767,0.0088,-0.0005,-96.2567
